,title,puNumber,show_start_date,type,film_studio,production_country,director,producer,age_restriction,refundable_support,nonrefundable_support,budget,financing_source,ratings,genres,MyScore
1261,Том на ферме /По одноименной пьесе Мишеля Марка Бушара/,121004914,2014-03-25T12:00:00.000Z,Художественный,"Эм Ка 2 Продюксьон, Сон оф Мануаль, Арт Франс Синема, Сине, Сентр Националь дю Синема э де Лимаж Аниме",Канада - Франция,Ксавье Долан,"Ксавье Долан, Шарль Жийибер, Натанаэль Кармиц, Кэрол Монделло",«18+» - запрещено для детей,,,,,6.7,"драма,триллер,детектив",7.2169905
526,Орда,111000412,2012-01-26T12:00:00.000Z,Художественный,"Культурный фонд "" Кино-телекомпания "" Православная энциклопедия """,Россия,А.Прошкин,Н.Гостюшина,«16+» - для детей старше 16 лет,,,,,6.0,история,5.633415
5100,Кунг-фу кролик 3D,124001411,2011-09-05T12:00:00.000Z,Анимационный,"Бейджинг Филм Академи, Тьянджин Филм Студио",КНР,Сан Ли Джан,"Сан Ли Джан, Эллиот Тонг",«0+» - для любой зрительской аудитории,,,,,2.8,"мультфильм,комедия,приключения",5.819539
2987,МУЛЬТ в кино. Выпуск № 30,114001316,2016-04-27T12:00:00.000Z,Анимационный,"ООО ""Паровоз"", ООО ""Анимационная студия ""МУ"", ООО ""Студия анимационного кино ""Мельница"", ЗАО ""Аэроплан""",Россия,"Н.Мубинов, А.Чернова, С.Горя, А.Черногоров и др.","Д.Медников, Т.Цыварева, В.Воля, Е.Головин, А.Сметанкин,  А.Златопольский, С.Сельянов, А.Боярский и др.",«0+» - для любой зрительской аудитории,,,,,,,7.700037
4625,Сумерки. Сага. Новолуние /По произведению Стефани Майер/,221152610,2010-12-17T12:00:00.000Z,Художественный,Саммит Интертейнмент,США,Крис Вайц,"Билл Баннерман, Мартин Бауэн, Вик Годфри",«12+» - для детей старше 12 лет,,,,,6.0,"фэнтези,драма,мелодрама",5.3546243
634,Дети сексу не помеха,221006317,2017-04-05T12:00:00.000Z,Художественный,"Локомотив, Вест Пикчерз, Рэд Гранит Пикчерз",США,Дженнифер Уэстфелд,"Риза Азиз, Джошуа Астрачан, Дженнифер Уэстфелд ",«18+» - запрещено для детей,,,,,6.2,"драма,мелодрама,комедия",6.868761
796,Суперстар.,121033712,2012-12-27T12:00:00.000Z,Художественный,"Ректанжи Продюксьон, Уалд Банч, Студио 37, Франс 3 Синема, Скоп Пикчерз, Канал+, Сине+, Франс Телевизьон, Кофинова 6, Палатен Этуаль 8, Синемаж 5, Ле Текс Шелтер ди Гувернеман Федераль де Бельжик ",Франция - Бельгия,Ксавье Джианолли,Эдуард Вейл,«16+» - для детей старше 16 лет,,,,,6.5,"драма,мелодрама,комедия",7.1972294
5882,Роналду против Месси,126000818,2018-05-18T12:00:00.000Z,Прочие,"Сейс Перформанс, Премьер Пикчерз",Великобритания,Тара Пирния,"Тара Пирния, Тони Тальенти",«6+» - для детей старше 6 лет,,,,,6.0,"документальный,спорт,биография",6.56915
7358,"Фееринки. Серия ""Ловушка для страха""",124009219,2019-11-09T12:00:00.000Z,Анимационный,"ООО ""АГАМА ФИЛЬМ"" по заказу ЛАРАНИО ЭНТЕРПРАЙЗИЗ ЛИМИТЕД","Республика Кипр, Россия",М.Нефедова,"Д.Ловейко, М.Бурлаченко",«0+» - для любой зрительской аудитории,,,,,8.5,"мультфильм,детский",6.284932
1064,Третий лишний _,121016012,2012-07-06T12:00:00.000Z,Художественный,"Юниверсал Пикчерз, Медиа Райтс Кэпитал, Фаззи Дур Продакшнз, Блюграсс Филмз, Смарт Интертейнмент",США,Сет МакФарлейн,"Джон Джейкобс, Джейсон Кларк, Сет МакФарлейн",«16+» - для детей старше 16 лет,,,,,6.7,комедия,5.7340965
2850,Queen. Live in Bohemia,126001916,2016-03-25T12:00:00.000Z,Прочие,"МортуСкрин, Игл Рок Интертейнмент",Великобритания,Том Коркоран,Эми Бейли,«6+» - для детей старше 6 лет,,,,,7.9,"документальный,музыка",7.057851
3297,Она (2016),121025216,2016-09-14T12:00:00.000Z,Художественный,"Эс Бэ Эс Продюксьон, Твенти Твенти Визион Филмпродуцион ГмбХ, Франс 2 Синема, Энтр Шьен э Лу, Канал +, Франс Телевизьон, Оранж Синема, Каса Кафка, Проксимус, Национальный центр кинематографии",Германия - Франция - Бельгия,Пол Верховен,"Саид Бен Саид, Мишель Меркт",«18+» - запрещено для детей,,,,,7.4,"комедия,мелодрама",6.868924
5759,Кавалерия,121004118,2018-03-08T12:00:00.000Z, Художественный,"Алкон Интертейнмент, Блек Лейбл Медиа, Джерри Бруххаймер Филмз, ЛайонсГейт, Торридон Филмз",США,Николай Фьюлси,"Джерри Брукхаймер, Трент Лакинбилл, Тэд Лакинбилл",«18+» - запрещено для детей,,,,,6.1,"боевик,драма,военный",7.4486437
1660,Детородные,121022713,2013-08-29T12:00:00.000Z,Художественный,"Альянс Филмз, Аутоматик Интертейнмент, Дак Аттак Филмз, Айм Глобал",США,Джей Чандрашекхар,"Джейсон Блум, Джей Чандрашекхар",«16+» - для детей старше 16 лет,,,,,5.5,комедия,6.066122
212,Обыкновенный фашизм,112000215,2015-04-23T12:00:00.000Z,Документальный,"Киностудия ""Мосфильм""",СССР,М.Ромм,,«16+» - для детей старше 16 лет,,,,,8.3,"документальный,военный,история",6.7861986
3722,Пазманский дьявол,121033216,2016-12-21T12:00:00.000Z,Художественный,"Верди Продакшнз, Магна Интертейнмент, Брюс Коэн Продакшнз, Сикелиа Продакшнз, Янгер Зен Ю",США,Бен Янгер,Брюс Коэн,«18+» - запрещено для детей,,,,,6.8,"драма,биография,спорт",6.753619
2970,Млечный путь (2015),111018915,2015-11-10T12:00:00.000Z,Художественный,"ООО ""ПРОДАКШН ВЭЛЬЮ ВОРЛД ВАЙД"" ",Россия,А.Матисон,"А.Кублицкий, М.Карнеева",«12+» - для детей старше 12 лет,36000000.0,22904000.0,90000000.0,Фонд кино,5.1,комедия,7.3122873
1567,Мачо и ботан 2,221053314,2014-11-05T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Метро Голдвин Майер, Медиа Райтс Кэпитал, Ориджинал Филм, Кеннел Студиос, Стивен Джей Кеннел Продакшнз, 33 энд Аут Продакшнз, Джей Эйч Эф Продакшнз, Эл Стар Кэпитал",США,"Фил Лорд, Кристофер Миллер","Нил Эйч Мориц, Ченнинг Татум, Джона Хилл",«16+» - для детей старше 16 лет,,,,,6.7,"комедия,боевик,криминал",7.1184425
708,Доля ангелов,121023812,2012-09-25T12:00:00.000Z,Художественный,"Интертейнмент Уан, Сикстин Филмз, Уалд Банч, Ураниа Пикчерз, Бритиш Филм Институт, Ле Фильм дю Флев",Великобритания - Франция - Бельгия - Италия,Кен Лоуч,Ребекка О.Брайэн,«16+» - для детей старше 16 лет,,,,,6.9,"драма,комедия,криминал",7.0989747
6115,Аксель,121017418,2018-08-16T12:00:00.000Z, Художественный,"Глобал Роад Интертейнмент, Лейкшор Интертепйнмент, Фантом Фор Филмз",США,Оливер Дэйли,"Дэвид С.Гойер, Гари Лучези",«12+» - для детей старше 12 лет,,,,,5.6,"фантастика,боевик,триллер",7.4979286
2495,Головоломка.       Лава,124002315,2015-05-27T12:00:00.000Z,Анимационный,"Пиксар Анимейшн Студиос, Уолт Дисней Пикчерз",США,"Пит Доктер, Роналдо Вуд Кармен",Джонас Ривера,«6+» - для детей старше 6 лет,,,,,7.2,комедия,6.0798454
7010,Красавчик со стажем,121015519,2019-07-11T12:00:00.000Z, Художественный,"Эсквад, Чэптер 2, Тэ Эф 1 Студио, Глобалгейт Интертейнмент, Элкон Интертейнмент, Пантелион Филмз, Канал Плюс, Сине Плюс",Франция,Оливье Бару,"Ришар Гранпьер, Дмитрий Рассам",«16+» - для детей старше 16 лет,,,,,6.3,комедия,4.6893497
4376,Морские динозавры 3D: Путешествие в доисторический мир,223013710,2010-10-01T12:00:00.000Z,Научно-популярный,"Мантелло Бразерс, Эн 3 Ди Лэнд Продакшнз",Франция - Великобритания,"Паскаль Вонг, Ронан Чапалэйн","Кэтрин Вонг, Паскаль Вонг, Франсуа Мантелло",«0+» - для любой зрительской аудитории,,,,,6.9,"документальный,короткометражка",7.6263676
6651,Ковер-самолет,124000319,2019-01-26T12:00:00.000Z,Анимационный,"Эм энд Эм Продакшнз, Эй Филм, Дэнмаркс Радио, Дет Данске Филминститут",Дания,Карстен Килерих,"Ким Магнуссон, Тиви Магнуссон, Андерс Маструп",«6+» - для детей старше 6 лет,,,,,5.4,"мультфильм,семейный",5.4049478
5055,Не отпускай меня /По роману Кадзуо Исигуро/,221057811,2011-04-21T12:00:00.000Z,Художественный,"Ди Эн А Филмз, Фильм 4, Фокс Серчлайт Пикчерз",США - Великобритания,Марк Романек,"Алекс Гарленд, Эндрю МакДональд, Ричард Хьюит",«16+» - для детей старше 16 лет,,,,,7.0,"фантастика,драма,мелодрама",7.859777
1299,Эпидемия_,221000616,2016-01-29T12:00:00.000Z,Художественный,"Морена Фильм, Ребелион Террестр, А 3 Медиа Групп, Ле Фильм дю Лендмен, Телевизио де Каталуниа",Испания - Франция,"Алекс Пастор, Давид Пастор","Мерседес Гамеро, Альберто Марини, Педро Уриоль",«16+» - для детей старше 16 лет,,,,,7.2,"драма,фантастика,триллер",7.0536623
6281,Школа,121022318,2018-10-04T12:00:00.000Z, Художественный,"Бронте Пикчерз, Лунар Пикчерз, Крео Филмз, Хеад Геар Филмз, Метроль Текнолоджи                                                                                                     ",Австралия,Сторм Эшвуд,"Блейк Норзфилд, Джим Робисан",«18+» - запрещено для детей,,,,,4.8,драма,6.2612066
6894,Бладфест,121009619,2019-04-25T12:00:00.000Z, Художественный,Рустер Тис Продакшнс,США,Оуэн Эгертон,"Сет Каплан, Уилл Хайд, Эзра Венетос",«18+» - запрещено для детей,,,,,5.2,"ужасы,комедия",5.731724
4661,Без мужчин,111011310,2010-12-15T12:00:00.000Z,Художественный,"ООО Кинокомпания ""ВВЫСЬ"", ООО ""ВВП Альянс""",Россия,А.Хмельницкая,Р.Гигинеишвили,«16+» - для детей старше 16 лет,,,,,4.5,"мелодрама,комедия",7.1885376
3115,Крид: Наследие Рокки,121025715,2015-12-23T12:00:00.000Z,Художественный,"Метро Голдвин Майер, Уорнер Бразерс, Нью Лайн Синема, Чартофф-Уинклер Продакшнз",США,Райан Куглер,Николас Стерн,«16+» - для детей старше 16 лет,,,,,7.1,"драма,спорт",7.1295033
2612,Визит (2015),221025116,2016-05-30T12:00:00.000Z,Художественный,"Блиндинг Эдж Пикчерз, Блюмхауз Продакшнз",США,М. Найт Шьямалан,"Джейсон Блум, Марк Бьенсток, М. Найт Шьямалан",«16+» - для детей старше 16 лет,,,,,6.1,"ужасы,триллер,детектив",7.9898186
4026,Китти Фойль /По рассказу Кристофера Марли/,221022311,2011-02-07T12:00:00.000Z,Художественный,Эр Ка О Радио Пикчерз,США,Сэм Вуд,,«12+» - для детей старше 12 лет,,,,,6.7,"драма,мелодрама",6.4103684
238,Помни /По рассказу Джонатана Нолана/,221014715,2015-04-15T12:00:00.000Z,Художественный,"Ай Ремембер Пикчерз, Ньюмаркет, Саммит Интертейнмент, Тим Тодд Продакшн",США,Кристофер Нолан,"Дженнифер Тодд, Сюзан Тодд",«18+» - запрещено для детей,,,,,7.9,"триллер,детектив,драма",7.6568604
3249,Осколки,121011017,2017-06-07T12:00:00.000Z,Художественный,"Хайп Филм, Иль Капо Филмз",США,Алиса Хазанова,"Клаудио Белланте, Роман Волобуев, Илья Стюарт, Алиса Хазанова",«18+» - запрещено для детей,,,,,6.1,мелодрама,7.4620924
5989,Петербургский роман,111010018,2018-07-12T12:00:00.000Z, Художественный,"ООО ""ФАВОРИТ МЕДИА""",Россия,А.Муратов,"А.Чижиков, Н.Чижикова",«12+» - для детей старше 12 лет,,,,,,,6.3160453
3156,МУЛЬТ в кино. Выпуск № 21,114003815,2015-12-23T12:00:00.000Z,Анимационный,"ООО ""Паровоз"", ЗАО ""Аэроплан"", ООО ""КиноАтис"", ООО ""Продюсерский центр ""Рики"", ООО ""Анимационная студия ""МУ"", ООО ""Студия анимационного кино ""Мельница""",Россия,"А.Миронов, Р.Верещак, А.Грибков, А.Соколов и др.","Г.Васильев, И.Попов, М.Мэннис, Т.Цыварева, В.Воля, и др.",«0+» - для любой зрительской аудитории,,,,,,,5.975159
3069,Стив Джобс,121023315,2015-11-17T12:00:00.000Z,Художественный,"Юниверсал Пикчерз, Леджендари Пикчерз, Скотт Рудин Продакшнз, Марк Гордон Компани, Менеджемент 360, Децибел Филмз ",США,Дэнни Бойл,"Дэнни Бойл, Гаймон Кеседи, Кристиан Колсон",«18+» - запрещено для детей,,,,,6.7,"драма,биография,история",6.763854
6016,Монстры на каникулах 3: Море зовёт,124002518,2018-07-12T12:00:00.000Z,Анимационный,"Коламбиа Пикчерз, Медиа Райтс Кэпитал, Сони Пикчерз Анимейшн",США,Геннадий Тартаковский,Мишель Мердокка,«6+» - для детей старше 6 лет,,,,,7.5,"аниме,мультфильм,приключения",6.907776
5939,Во власти стихии,121011918,2018-06-28T12:00:00.000Z, Художественный,"Лэйкшор Интертейнмент, Хуайи Бразерс, Эр Вэ Ка Студиоз, Эс Ти Икс Интертейнмент",США,Бальтасар Кормакур,"Аарон Канделл, Джордан Канделл, Бальтасар Кормакур, Ральф Уинтер",«16+» - для детей старше 16 лет,,,,,6.8,"боевик,триллер,драма",5.529502
1795,Гаэтано Доницетти. Лукреция Борджиа /По мотивам одноименной пьесы Виктора Гюго/. Постановка Оперы Сан-Франциско,126001614,2014-05-05T12:00:00.000Z,Прочие,Ризинг Альтернатин,Италия,Джон Паско,"Джессика Коплос, Мэттью Шилвок",«0+» - для любой зрительской аудитории,,,,,,,6.79133
4181,Троя,221139110,2010-12-01T12:00:00.000Z,Художественный,"Рэдиэнт, Плэн Би, Уорнер Бразерс",США,Вольфганг Петерсон,"Вольфганг Петерсон, Дайана Рэтбен, Колин Уилсон",«16+» - для детей старше 16 лет,,,,,8.0,"боевик,история,драма",7.281087
303,Тегеран-43,111008413,2013-10-18T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм"", ""ПРО ДИС ФИЛЬМ АГ"", ""МЕДИТЕРРАНЕ СИНЕМА"" ",СССР - Швейцария - Франция,"А.Алов, В.Наумов",,«12+» - для детей старше 12 лет,,,,,7.5,"боевик,триллер,драма",7.533647
2895,Сын Саула,121006216,2016-03-23T12:00:00.000Z,Художественный,"Лаокоон Филмгрупп, Хунгариан Нэшнл Филм Фанд",Венгрия,Ласло Немеш,"Кристина Пинтер, Габор Райна, Габор Шипош",«18+» - запрещено для детей,,,,,6.7,"драма,военный",6.7338305
2893,Друзья (2015),121005016,2016-03-15T12:00:00.000Z,Художественный,"Ле Фильм де Турней, Арт Франс Синема, Кофинова 11, Индефильм 3, Софисинема 11, Канал +, Арт Франс, Национальный центр кинематографии",Франция,Луи Гаррель,"Оливье Пере, Энн-Доминик Туссэн",«16+» - для детей старше 16 лет,,,,,6.7,"драма,мелодрама,комедия",5.641826
5538,"Убийство в ""Восточном экспрессе""",121021717,2017-11-09T12:00:00.000Z, Художественный,"ХХ век Фокс, Жанр Филмз, Кинберг Жанр, Марк Гордон Компани, Скотт Фри Продакшнз, Латина Пикчерз, Эстейт оф Агата Кристи",США - Мальта,Кеннет Брана,"Кеннет Брана, Марк Гордон, Джуди Хоффланд",«16+» - для детей старше 16 лет,,,,,6.7,"детектив,криминал,драма",5.1351004
89,Выстрел.,111013613,2013-12-19T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,Н.Трахтенберг,,«12+» - для детей старше 12 лет,,,,,7.4,"триллер,драма,криминал",7.2415447
3889,Ливан,121012210,2010-07-05T12:00:00.000Z,Художественный,"Ариэл Филмз, Арсам Интернэшнл, Артэ Франс, Израэль Филм Фонд, Метро Коммьюникейшнз, Паралит Продакшнз",Израиль - Франция - Великобритания - Германия,Самуэль Маоз,"Анат Бикель, Леон Ибери, Моше Ибери, Ури Сабаг, Давид Силбер",«16+» - для детей старше 16 лет,,,,,6.5,"драма,военный",7.5193667
331,Призраки бывших подружек,221030615,2015-07-29T12:00:00.000Z,Художественный,"Нью Лайн Синема, Пантер, Уорнер Бразерс",США,Марк С. Уотерс,"Джон Шестак, Брэд Эпштейн",«16+» - для детей старше 16 лет,,,,,6.3,"фэнтези,мелодрама,комедия",6.7322245
2340,Викинги,121023714,2014-10-10T12:00:00.000Z,Художественный,"Элит Филм, Джампинг Хаус Филм, Ту Ошиан Продакшнз",Швейцария-Германия-ЮАР,Клаудио Фах,"Марко Дель Бьянко, Карин Дж.Дитрих, Ральф С.Дитрих",«16+» - для детей старше 16 лет,,,,,8.2,"история,драма,боевик",4.2435055
3479,Заложники,111004017,2017-09-21T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ""Небо"", ООО ""ИНК ТВ"", ""20 СТЕПС ПРОДАКШЕНС""",Россия,Р.Гигинеишвили,"М.Финогенов, Р.Гигинеишвили, Т.Татишвили, В.Качарава",«16+» - для детей старше 16 лет,,,,,5.8,"драма,триллер,биография",6.3945665
6096,Лола живая картошка,114004018,2018-08-10T12:00:00.000Z,Анимационный,"АНО Школа-Студия анимационного кино ""ШАР""",Россия,Л.Шмельков,"Н.Маковский, А.Хржановский",«12+» - для детей старше 12 лет,,,,,,,6.611544
3176,Девушка из Дании,221030116,2016-06-21T12:00:00.000Z,Художественный,"Артемиз Продакшнз, Претти Пикчерз, Уоркинг Тайтл Филмз",США - Великобритания - Германия - Бельгия - Дания,Том Хупер,"Тим Беван, Эрик Феллнер, Энн Харрисон",«18+» - запрещено для детей,,,,,6.9,"драма,мелодрама,биография",8.003465
3807,Последнее воскресение,111001410,2010-02-03T12:00:00.000Z,Художественный,"ООО ""Продюсерский Центр Андрея Кончаловского"", Egoli Tossell Film",Россия - Германия,Майкл Хоффман,"Йенс Мюрер, Крис Кёрлинг, Бонни Арнольд, Андрей Кончаловский",«16+» - для детей старше 16 лет,,,,,7.4,"драма,мелодрама,биография",6.816126
3174,Элвин и бурундуки: Грандиозное бурундуключение,221017716,2016-03-29T12:00:00.000Z,Художественный,"Фокс 2000, Ридженси Энтерпрайзис, Багдасарян Продакшнз, Сансвет Интертейнмент, Тэ Эс Гэ Интертейнмент",США,Уолт Бекер,"Росс Багдасарян младший, Дженис Карман",«6+» - для детей старше 6 лет,,,,,5.8,"семейный,комедия,музыка",7.841844
5293,Притворись моей женой,221003011,2011-04-01T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Хэппи Мэдисон Продакшнз",США,Дэннис Дуган,"Джек Джиарапутто, Хизер Пэрри, Адам Сэндлер",«16+» - для детей старше 16 лет,,,,,7.3,"мелодрама,комедия",6.621225
6481,Де фак-то,112014318,2018-12-04T12:00:00.000Z,Документальный,Обермаер Е.В.,"Россия, Австрия",Е.Обермаер (псевдоним Е.Шапиро-Обермаер),Е.Обермаер (псевдоним Е.Шапиро-Обермаер),«12+» - для детей старше 12 лет,,,,,6.4,документальный,6.7774944
843,"Лео Делиб. Лакме /По роману Пьера Лоти ""Рараю или Женитьба Лоти""/. Постановка Sydney Opera House",126002112,2012-06-15T12:00:00.000Z,Прочие,Синема Лайв,Австралия,Адам Кук,Австралийская опера,«0+» - для любой зрительской аудитории,,,,,,,6.856638
2641,Пернатая банда,124003215,2015-07-31T12:00:00.000Z,Анимационный,"Анахак Филмз, Анимекс Студиос, Олмос Продакшнз, Фил Роман Интертейнмент",Мексика - США,"Рикардо Арнаиз, Рауль Гарсиа, Майк Кункель","Рикардо Арнаиз, Веро Арсео, Джерри Кардосо",«6+» - для детей старше 6 лет,,,,,4.1,"мультфильм,боевик,комедия",5.9289584
4305,"ПРО ВАСИЛИЯ БЛАЖЕННОГО (проект ""Гора самоцветов"")",114001010,2010-09-30T12:00:00.000Z,Анимационный,"НО ""Фонд поддержки анимационного кино ""Пилот""",Россия,Н.Березовая,"НО ""Фонд поддержки анимационного кино ""Пилот""",«0+» - для любой зрительской аудитории,,,,,,,6.7815614
1353,Тайная диско- революция,126002513,2013-07-04T12:00:00.000Z,Прочие,"Белль Медиа, Театрикаль Документер Программ, Е Он, Телефильм Канада, Роджер Групп оф Фонд, 7 Продюксьон, Скрин Медиа Филмз ",Канада - Франция - США - ОАЭ - Великобритания,Джэми Кастнер,Джэми Кастнер,«18+» - запрещено для детей,,,,,6.0,"документальный,комедия,история",7.0729203
606,Клятва _,221000912,2012-03-12T12:00:00.000Z,Художественный,"Скрин Гемс, Спайгласс Интертейнмент",США - Бразилия - Франция - Австралия - Великобритания - Германия,Майкл Сакси,"Гэри Барбер, Роджер Бирнбаум, Джонатан Гликман, Пол Таублиб",«16+» - для детей старше 16 лет,,,,,7.5,"драма,мелодрама",7.0136843
3303,Мухаммад,121005017,2017-03-20T12:00:00.000Z,Художественный,Нур и Табан,Иран,Маджид Маджиди,"Мохаммед Махди Хейдариан, Мохаммед Реза Сабери",«16+» - для детей старше 16 лет,,,,,7.8,"драма,биография,история",5.8447485
1855,Мордекай,121002515,2015-02-13T12:00:00.000Z,Художественный,"Хью Бразерс Медиа, Инфинитум Нихил Продакшн, Мэд Чанс Продакшнз, Одд Лот Интертейнмент",США,Дэвид Кепп,"Кристи Дембровски, Джонни Депп, Эндрю Лазар",«18+» - запрещено для детей,,,,,5.8,"боевик,мелодрама,комедия",6.907527
5147,Месть   .,121004911,2011-04-05T12:00:00.000Z,Художественный,"Дэнмарк Радио, Дет Данске Филминститут, Филм Фин, Филм и Вест, Медиа, Мемфис Филм, Нордиск Филм, Сверидж Телевижн, Сведиш Филм Институт, Зентропа Продуксьонс ",Дания - Швеция,Сюзанна Биер,Сиссе Граум Олсен,«16+» - для детей старше 16 лет,,,,,7.3,"боевик,триллер,драма",5.907288
1427,Война миров Z,121014113,2013-05-27T12:00:00.000Z,Художественный,"Парамаунт, План Би Интертейнмент, Аппаратас Продакшнз, ДжиКейФилмз, Латина Пикчерз, Скайдэнс Продакшнз",США-Мальта,Марк Форстер,"Йен Брюс, Деде Гарднер, Джереми Клейнер",«12+» - для детей старше 12 лет,,,,,7.0,"ужасы,фантастика,боевик",5.9040885
4537,Время ведьм .,121022810,2010-12-10T12:00:00.000Z,Художественный,"Атлас Интертейнмент, Релативити Медиа",США,Доминик Сена,Алекс Гартнер,«16+» - для детей старше 16 лет,,,,,6.2,"фэнтези,боевик,приключения",6.747474
4408,Большой Фитиль,111004010,2010-03-31T12:00:00.000Z,Художественный,"ЗАО ""Фитиль-Проект""",Россия,И.Угольников,"И.Угольников, П.Смирнов",«12+» - для детей старше 12 лет,,,,,7.2,комедия,7.288021
2646,Миссия невыполнима: Племя изгоев,221014616,2016-02-19T12:00:00.000Z,Художественный,"Бэд Робот, Скайдэнс Продакшнз, ТиСи Продакшнз, Парамаунт ",США - Гонконг - КНР ,Кристофер МакКуори,"Джей Джей Абрамс, Брайан Керк, Том Круз",«16+» - для детей старше 16 лет,,,,,7.1,"боевик,триллер,приключения",7.7344522
835,Харакири 3D,121015412,2012-06-29T12:00:00.000Z,Художественный,"Рекордед Пикчер Компани, Седик Интернэшнл, Амьюз Софт Интертейнмент, Коданша",Япония-Великобритания,Такаси Миике,Тошиаки Наказава,«18+» - запрещено для детей,,,,,7.3,драма,6.8351374
6588,Белый парень Рик,121030418,2019-01-31T12:00:00.000Z, Художественный,"ЛБИ Продакшнз, Протозоа Пикчерс, Студио 8 ",США,Янн Деманж,"Даррен Аронофски, Скотт Франклин, Джон Лишер, Джули Йорн",«18+» - запрещено для детей,,,,,6.4,"драма,криминал,биография",4.9271345
2190,Золотой мальчик.,121005515,2015-03-23T12:00:00.000Z,Художественный,"Дуэа Фильм, Комво Продуциони, Эр А И Синема, Министеро пер и Бени э ле Аттивита Културали",Италия,Пупи Авати,"Антонио Авати, Флавия Парнази",«16+» - для детей старше 16 лет,,,,,5.6,драма,7.5654984
37,Молчи в тряпочку,221012015,2015-04-03T12:00:00.000Z,Художественный,"Саммит Интертейнмент, Айл оф Мэн Филм, Эйзур Филмз, Таск Продакшнз",Великобритания,Найл Джонсон,"Мэтью Пэйн, Джулия Пэло",«18+» - запрещено для детей,,,,,7.1,"комедия,криминал",6.093561
1045,Короли рулетки,121021112,2012-09-05T12:00:00.000Z,Художественный,"Афродита Аудивизуаль, Алеа Док Фильм, Баусан Фильм, Канал+ Испания, Конселль де Майорка, Институто де ля Синематография де ла Арт Аудивизуаль, Майорка ФильмКомиссион, Телевизио де Каталания, Телевизион Эспаньола, Текракен Фильм",Испания,Эдуард Кортес,"Лорис Омедес, Даниэль Эрнандез",«16+» - для детей старше 16 лет,,,,,5.7,"боевик,драма",6.901224
6366,Дальше по коридору,121024818,2018-11-10T12:00:00.000Z, Художественный,"Фикл Фиш Филм, Нострмо Пикчерз, Темпл Хилл Интертейнмент",США - Испания,Родриго Кортес,"Марти Бауэн, Адриан Герра, Вик Годфри",«16+» - для детей старше 16 лет,,,,,5.2,"ужасы,фэнтези,триллер",5.2445574
3741,Доминика,111004817,2017-09-01T12:00:00.000Z,Художественный,"ООО ""Школа кино""",Россия,О.Агейчев,"ООО ""Школа кино""",«12+» - для детей старше 12 лет,,,,,5.7,"фэнтези,комедия",6.8781404
1725,Три мелодии,114000713,2014-01-29T12:00:00.000Z,Анимационный,"ООО Фирма ""Стайер""",Россия,Г.Бардин,Г.Бардин,«12+» - для детей старше 12 лет,,,,,6.8,мультфильм,5.5774717
4312,Гангстеры,221113310,2010-10-11T12:00:00.000Z,Художественный,"А Же О Зэ Фильм, Эль Же Эм Синема, Сине Тэ Вэ, Франс 3 Синема, Эль Гэ Эм Продюксьон, Радио Телевизьон Бельж Франкофон, Сага Фильм",Бельгия - Франция,Оливье Маршаль,"Жан-Батист Дюпон, Ариэль Зейтун, Сирил Кольбо-Жюстен, Юбер Туан, Поль Фонтен",«16+» - для детей старше 16 лет,,,,,6.8,"драма,криминал",5.5078135
4248,Шаг вперед 3D,121014810,2010-08-07T12:00:00.000Z,Художественный,"Саммит Интертейнмент, Офсприн Интертейнмент, Тачстоун Пикчерз",США,Джон Чу,"Дженнифер Джибгот, Эрик Фейг, Эми Херман",«16+» - для детей старше 16 лет,,,,,7.2,"драма,мелодрама,музыка",6.6629076
1263,Mylene Farmer. Timeless 2013 the Movie,126000914,2014-03-21T12:00:00.000Z,Прочие,Пате Лайв,Великобритания,Франсуа Ханнс,Тьерри Сюк,«12+» - для детей старше 12 лет,,,,,,,6.6788673
2465,Инфекция (2013),121017815,2015-09-07T12:00:00.000Z,Художественный,"БолдерЛайт Пикчерз, Саузерн Фрайед Филмз",США,Эрик Инглэнд,"Эрик Инглэнд, Дж.Д. Лифшиц, Рафаэль Маргулес",«18+» - запрещено для детей,,,,,4.9,ужасы,4.896048
554,Мачо и ботан,121008212,2012-04-09T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Метро Голдвин Майер, Рилетивити Медиа, Ориджинал Филм, Стивен Джей Кеннел Продакшнз, Кеннел Студиос",США,"Фил Лорд, Крис Миллер","Стивен Джей Кеннел, Нил Эйч Мориц",«16+» - для детей старше 16 лет,,,,,7.0,"боевик,комедия,криминал",7.1649733
1788,Мамарош,121008114,2014-04-24T12:00:00.000Z,Художественный,"Коразон Интернэшнл, Митберг Филмз, Паприка Филм, Йала Филм",Сербия - Германия - Венгрия,Момчило Мрдакович,"Фатих Акин, Ёзеф Бергер, Момчило Мрдакович",«16+» - для детей старше 16 лет,,,,,6.2,"драма,комедия",6.085189
5111,ШАПИТО - ШОУ,111007911,2011-11-03T12:00:00.000Z,Художественный,"ЗАО ""Органик Филмз""",Россия,С.Лобан,Е.Герасичева,«18+» - запрещено для детей,,,,,7.6,комедия,5.5233154
